k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.7368421052631579,0.6736842105263158,0.9411764705882353,0.7852760736196318,0.5230769230769231,0.8393665158371041
5,0.7518796992481203,0.6966292134831461,0.9117647058823529,0.7898089171974523,0.5846153846153846,0.8572398190045248
10,0.7669172932330827,0.7176470588235294,0.8970588235294118,0.7973856209150327,0.6307692307692307,0.8570135746606334
20,0.7593984962406015,0.7142857142857143,0.8823529411764706,0.7894736842105262,0.6307692307692307,0.8549773755656108
100,0.7443609022556391,0.6847826086956522,0.9264705882352942,0.7875000000000001,0.5538461538461539,0.8638009049773755
