k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.7969924812030075,0.7808219178082192,0.8382352941176471,0.8085106382978724,0.7538461538461538,0.837556561085973
5,0.7819548872180451,0.76,0.8382352941176471,0.7972027972027973,0.7230769230769231,0.8601809954751133
10,0.7819548872180451,0.7671232876712328,0.8235294117647058,0.7943262411347518,0.7384615384615385,0.8549773755656108
20,0.7894736842105263,0.7777777777777778,0.8235294117647058,0.7999999999999999,0.7538461538461538,0.8585972850678734
100,0.7894736842105263,0.7777777777777778,0.8235294117647058,0.7999999999999999,0.7538461538461538,0.8617647058823529
