k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.8045112781954887,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.7692307692307693,0.832579185520362
5,0.7894736842105263,0.7702702702702703,0.8382352941176471,0.8028169014084507,0.7384615384615385,0.8511312217194571
10,0.8120300751879699,0.8028169014084507,0.8382352941176471,0.8201438848920864,0.7846153846153846,0.8497737556561086
20,0.8120300751879699,0.8028169014084507,0.8382352941176471,0.8201438848920864,0.7846153846153846,0.8479638009049774
100,0.7894736842105263,0.7857142857142857,0.8088235294117647,0.7971014492753622,0.7692307692307693,0.8599547511312218
