k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.6766917293233082,0.6712328767123288,0.7205882352941176,0.6950354609929077,0.6307692307692307,0.7774886877828054
5,0.7894736842105263,0.803030303030303,0.7794117647058824,0.7910447761194029,0.8,0.8351809954751132
10,0.8345864661654135,0.8484848484848485,0.8235294117647058,0.8358208955223881,0.8461538461538461,0.855316742081448
20,0.8195488721804511,0.8333333333333334,0.8088235294117647,0.8208955223880597,0.8307692307692308,0.8582579185520361
100,0.8120300751879699,0.8307692307692308,0.7941176470588235,0.8120300751879699,0.8307692307692308,0.8569004524886878
