k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.6766917293233082,0.6213592233009708,0.9411764705882353,0.7485380116959063,0.4,0.7821266968325792
5,0.7518796992481203,0.7011494252873564,0.8970588235294118,0.7870967741935484,0.6,0.8493212669683258
10,0.7744360902255639,0.7317073170731707,0.8823529411764706,0.8,0.6615384615384615,0.8262443438914027
20,0.7969924812030075,0.759493670886076,0.8823529411764706,0.8163265306122449,0.7076923076923077,0.8404977375565611
100,0.8120300751879699,0.7945205479452054,0.8529411764705882,0.8226950354609929,0.7692307692307693,0.8461538461538461
