k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.7669172932330827,0.7534246575342466,0.8088235294117647,0.7801418439716311,0.7230769230769231,0.8190045248868779
5,0.7969924812030075,0.7887323943661971,0.8235294117647058,0.8057553956834531,0.7692307692307693,0.8447963800904977
10,0.7894736842105263,0.7777777777777778,0.8235294117647058,0.7999999999999999,0.7538461538461538,0.8585972850678734
20,0.7969924812030075,0.8059701492537313,0.7941176470588235,0.8,0.8,0.8610859728506789
100,0.7744360902255639,0.796875,0.75,0.7727272727272727,0.8,0.8936651583710408
