k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.6691729323308271,0.65,0.7647058823529411,0.7027027027027027,0.5692307692307692,0.732918552036199
5,0.7969924812030075,0.7733333333333333,0.8529411764705882,0.8111888111888111,0.7384615384615385,0.8287330316742082
10,0.8045112781954887,0.8,0.8235294117647058,0.8115942028985507,0.7846153846153846,0.8542986425339366
20,0.7969924812030075,0.7733333333333333,0.8529411764705882,0.8111888111888111,0.7384615384615385,0.8796380090497737
100,0.7969924812030075,0.8059701492537313,0.7941176470588235,0.8,0.8,0.8755656108597285
