k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.7593984962406015,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.6923076923076923,0.8280542986425339
5,0.7819548872180451,0.7671232876712328,0.8235294117647058,0.7943262411347518,0.7384615384615385,0.8520361990950226
10,0.7669172932330827,0.7605633802816901,0.7941176470588235,0.7769784172661871,0.7384615384615385,0.8425339366515837
20,0.7218045112781954,0.7384615384615385,0.7058823529411765,0.7218045112781954,0.7384615384615385,0.8402714932126697
100,0.7669172932330827,0.7761194029850746,0.7647058823529411,0.7703703703703704,0.7692307692307693,0.8418552036199095
