k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.8195488721804511,0.84375,0.7941176470588235,0.8181818181818182,0.8461538461538461,0.8610859728506788
5,0.8646616541353384,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.8769230769230769,0.8889140271493213
10,0.8721804511278195,0.9047619047619048,0.8382352941176471,0.8702290076335878,0.9076923076923077,0.8945701357466064
20,0.849624060150376,0.8636363636363636,0.8382352941176471,0.8507462686567164,0.8615384615384616,0.8780542986425339
100,0.8421052631578947,0.8507462686567164,0.8382352941176471,0.8444444444444444,0.8461538461538461,0.8880090497737557
