k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.8345864661654135,0.8382352941176471,0.8382352941176471,0.8382352941176471,0.8307692307692308,0.8746606334841629
5,0.8421052631578947,0.8309859154929577,0.8676470588235294,0.8489208633093526,0.8153846153846154,0.8782805429864253
10,0.8421052631578947,0.8405797101449275,0.8529411764705882,0.8467153284671534,0.8307692307692308,0.8950226244343892
20,0.8345864661654135,0.8108108108108109,0.8823529411764706,0.8450704225352113,0.7846153846153846,0.8841628959276019
100,0.8421052631578947,0.7974683544303798,0.9264705882352942,0.8571428571428572,0.7538461538461538,0.9106334841628959
