k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.7894736842105263,0.803030303030303,0.7794117647058824,0.7910447761194029,0.8,0.8233031674208144
5,0.8195488721804511,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8153846153846154,0.8619909502262444
10,0.8421052631578947,0.8405797101449275,0.8529411764705882,0.8467153284671534,0.8307692307692308,0.8872171945701358
20,0.8421052631578947,0.8405797101449275,0.8529411764705882,0.8467153284671534,0.8307692307692308,0.8929864253393666
100,0.8796992481203008,0.90625,0.8529411764705882,0.8787878787878787,0.9076923076923077,0.8903846153846154
