k_value,accuracy,precision,recall,f1_score,specificity,auroc_score
3,0.7593984962406015,0.7,0.9264705882352942,0.7974683544303798,0.5846153846153846,0.8742081447963801
5,0.8120300751879699,0.7721518987341772,0.8970588235294118,0.8299319727891157,0.7230769230769231,0.8751131221719457
10,0.8345864661654135,0.8285714285714286,0.8529411764705882,0.8405797101449276,0.8153846153846154,0.8800904977375565
20,0.8345864661654135,0.8194444444444444,0.8676470588235294,0.8428571428571429,0.8,0.8746606334841629
100,0.849624060150376,0.8636363636363636,0.8382352941176471,0.8507462686567164,0.8615384615384616,0.8728506787330318
